pmid,title,cleaned_abstract,cleaned_text,year,has_full_text
38853102,Multi-target drugs for Alzheimer's disease.,"Alzheimers disease (AD), a leading cause of dementia, increasingly challenges our healthcare systems and society. Traditional therapies aimed at single targets have fallen short owing to the complex, multifactorial nature of AD that necessitates simultaneous targeting of various disease mechanisms for clinical success. Therefore, targeting multiple pathologies at the same time could provide a synergistic therapeutic effect. The identification of new disease targets beyond the classical hallmarks of AD offers a fertile ground for the design of new multi-target drugs (MTDs), and building on existing compounds have the potential to yield in successful disease modifying therapies. This review discusses the evolving landscape of MTDs, focusing on their potential as AD therapeutics. Analysis of past and current trials of compounds with multi-target activity underscores the capacity of MTDs to offer synergistic therapeutic effects, and the flourishing genetic understanding of AD will inform and inspire the development of MTD-based AD therapies.","Alzheimers disease (AD), a leading cause of dementia, increasingly challenges our healthcare systems and society. Traditional therapies aimed at single targets have fallen short owing to the complex, multifactorial nature of AD that necessitates simultaneous targeting of various disease mechanisms for clinical success. Therefore, targeting multiple pathologies at the same time could provide a synergistic therapeutic effect. The identification of new disease targets beyond the classical hallmarks of AD offers a fertile ground for the design of new multi-target drugs (MTDs), and building on existing compounds have the potential to yield in successful disease modifying therapies. This review discusses the evolving landscape of MTDs, focusing on their potential as AD therapeutics. Analysis of past and current trials of compounds with multi-target activity underscores the capacity of MTDs to offer synergistic therapeutic effects, and the flourishing genetic understanding of AD will inform and inspire the development of MTD-based AD therapies.",2024,False
38565393,NLRP3 inflammasome signalling in Alzheimer's disease.,"Every year, 10 million people develop dementia, the most common of which is Alzheimers disease (AD). To date, there is no way to prevent cognitive decline and therapies are limited. This review provides a neuroimmunological perspective on the progression of AD, and discusses the immune-targeted therapies that are in preclinical and clinical trials that may impact the development of this disease. Specifically, we look to the role of the NLRP3 inflammasome, its triggers in the brain and how its activation can contribute to the progression of dementia. We summarise the range of inhibitors targeting the NLRP3 inflammasome and its downstream pathways that are under investigation, and discuss future therapeutic perspectives for this devastating condition.","Every year, 10 million people develop dementia, the most common of which is Alzheimers disease (AD). To date, there is no way to prevent cognitive decline and therapies are limited. This review provides a neuroimmunological perspective on the progression of AD, and discusses the immune-targeted therapies that are in preclinical and clinical trials that may impact the development of this disease. Specifically, we look to the role of the NLRP3 inflammasome, its triggers in the brain and how its activation can contribute to the progression of dementia. We summarise the range of inhibitors targeting the NLRP3 inflammasome and its downstream pathways that are under investigation, and discuss future therapeutic perspectives for this devastating condition.",2024,False
35300725,Immunotherapy for Alzheimer's disease: targeting β-amyloid and beyond.,"Alzheimers disease (AD) is the most common neurodegenerative disease in the elderly worldwide. However, the complexity of AD pathogenesis leads to discrepancies in the understanding of this disease, and may be the main reason for the failure of AD drug development. Fortunately, many ongoing preclinical and clinical studies will continually open up avenues to unravel disease mechanisms and guide strategies for AD diagnosis and drug development. For example, immunotherapeutic strategies targeting amyloid-β (Aβ) and tau proteins were once deemed almost certainly effective in clinical treatment due to the excellent preclinical results. However, the repeated failures of clinical trials on vaccines and humanized anti-Aβ and anti-tau monoclonal antibodies have resulted in doubts on this strategy. Recently, a new anti-Aβ monoclonal antibody (Aducanumab) has been approved by the US Food and Drug Administration, which brings us back to the realization that immunotherapy strategies targeting Aβ may be still promising. Meanwhile, immunotherapies based on other targets such as tau, microglia and gut-brain axis are also under development. Further research is still needed to clarify the forms and epitopes of targeted proteins to improve the accuracy and effectiveness of immunotherapeutic drugs. In this review, we focus on the immunotherapies based on Aβ, tau and microglia and their mechanisms of action in AD. In addition, we present up-to-date advances and future perspectives on immunotherapeutic strategies for AD.","Alzheimers disease (AD) is the most common neurodegenerative disease in the elderly worldwide. However, the complexity of AD pathogenesis leads to discrepancies in the understanding of this disease, and may be the main reason for the failure of AD drug development. Fortunately, many ongoing preclinical and clinical studies will continually open up avenues to unravel disease mechanisms and guide strategies for AD diagnosis and drug development. For example, immunotherapeutic strategies targeting amyloid-β (Aβ) and tau proteins were once deemed almost certainly effective in clinical treatment due to the excellent preclinical results. However, the repeated failures of clinical trials on vaccines and humanized anti-Aβ and anti-tau monoclonal antibodies have resulted in doubts on this strategy. Recently, a new anti-Aβ monoclonal antibody (Aducanumab) has been approved by the US Food and Drug Administration, which brings us back to the realization that immunotherapy strategies targeting Aβ may be still promising. Meanwhile, immunotherapies based on other targets such as tau, microglia and gut-brain axis are also under development. Further research is still needed to clarify the forms and epitopes of targeted proteins to improve the accuracy and effectiveness of immunotherapeutic drugs. In this review, we focus on the immunotherapies based on Aβ, tau and microglia and their mechanisms of action in AD. In addition, we present up-to-date advances and future perspectives on immunotherapeutic strategies for AD. Alzheimers disease (AD), the most prevalent cause of dementia in the elderly, is pathologically characterized by extracellular amyloid-β (Aβ) plaques, hyperphosphorylated tau in neurofibrillary tangles and neuroinflammation Current commonly used drugs for AD, mainly cholinesterase inhibitors and N-methyl- Both active and passive immunization strategies have advantages. Active immunotherapy (vaccines) depends on the cellular and humoral immune responses, resulting in long-term generation of endogenous antibodies. Compared with passive immunotherapy, active immunotherapy produces high-concentration antibodies in the human body, with few injection times and less medical cost. On the other hand, passive immunotherapy (antibodies) is regarded more suitable and effective for elderly patients whose responsiveness to vaccines is reduced. Furthermore, upon occurrence of adverse reactions, the effects of humanized monoclonal antibodies can be stopped more conveniently than vaccines due to the targeting of specific protein conformations. However, passive immunization requires repeated dosing and more expenditure. In addition, both approaches may induce over-activation of the innate and adaptive immune systems, resulting in side effects such as cerebral vasculitis Although the FDA approval of aducanumab has drawn controversy, it cannot be denied that this human monoclonal Aβ antibody raises the possibility that AD neurodegeneration may be slowed down or prevented by Aβ clearance. Also, it will greatly promote research and development of other AD immunotherapies. Research efforts are being made to overcome challenges in immunotherapy for AD, including target selection, adverse reactions, drug delivery and early diagnosis of AD, in the aim of developing more refined vaccines and antibodies. Resolution of these challenges would pave the way for generation of new immunotherapeutic drugs for AD.",2022,True
37452321,Tau and neuroinflammation in Alzheimer's disease: interplay mechanisms and clinical translation.,"Alzheimers Disease (AD) contributes to most cases of dementia. Its prominent neuropathological features are the extracellular neuritic plaques and intercellular neurofibrillary tangles composed of aggregated β-amyloid (Aβ) and hyperphosphorylated tau protein, respectively. In the past few decades, disease-modifying therapy targeting Aβ has been the focus of AD drug development. Even though it is encouraging that two of these drugs have recently received accelerated US Food and Drug Administration approval for AD treatment, their efficacy or long-term safety is controversial. Tau has received increasing attention as a potential therapeutic target, since evidence indicates that tau pathology is more associated with cognitive dysfunction. Moreover, inflammation, especially neuroinflammation, accompanies AD pathological processes and is also linked to cognitive deficits. Accumulating evidence indicates that inflammation has a complex and tight interplay with tau pathology. Here, we review recent evidence on the interaction between tau pathology, focusing on tau post-translational modification and dissemination, and neuroinflammatory responses, including glial cell activation and inflammatory signaling pathways. Then, we summarize the latest clinical trials targeting tau and neuroinflammation. Sustained and increased inflammatory responses in glial cells and neurons are pivotal cellular drivers and regulators of the exacerbation of tau pathology, which further contributes to its worsening by aggravating inflammatory responses. Unraveling the precise mechanisms underlying the relationship between tau pathology and neuroinflammation will provide new insights into the discovery and clinical translation of therapeutic targets for AD and other tau-related diseases (tauopathies). Targeting multiple pathologies and precision therapy strategies will be the crucial direction for developing drugs for AD and other tauopathies.","Alzheimers Disease (AD) contributes to most cases of dementia. Its prominent neuropathological features are the extracellular neuritic plaques and intercellular neurofibrillary tangles composed of aggregated β-amyloid (Aβ) and hyperphosphorylated tau protein, respectively. In the past few decades, disease-modifying therapy targeting Aβ has been the focus of AD drug development. Even though it is encouraging that two of these drugs have recently received accelerated US Food and Drug Administration approval for AD treatment, their efficacy or long-term safety is controversial. Tau has received increasing attention as a potential therapeutic target, since evidence indicates that tau pathology is more associated with cognitive dysfunction. Moreover, inflammation, especially neuroinflammation, accompanies AD pathological processes and is also linked to cognitive deficits. Accumulating evidence indicates that inflammation has a complex and tight interplay with tau pathology. Here, we review recent evidence on the interaction between tau pathology, focusing on tau post-translational modification and dissemination, and neuroinflammatory responses, including glial cell activation and inflammatory signaling pathways. Then, we summarize the latest clinical trials targeting tau and neuroinflammation. Sustained and increased inflammatory responses in glial cells and neurons are pivotal cellular drivers and regulators of the exacerbation of tau pathology, which further contributes to its worsening by aggravating inflammatory responses. Unraveling the precise mechanisms underlying the relationship between tau pathology and neuroinflammation will provide new insights into the discovery and clinical translation of therapeutic targets for AD and other tau-related diseases (tauopathies). Targeting multiple pathologies and precision therapy strategies will be the crucial direction for developing drugs for AD and other tauopathies. Dementia is currently one of the leading causes of disability and dependency among the elderly As an age-related neurodegenerative disease, AD is divided into two subtypes according to the age of onset: early-onset AD (EOAD, 65 years) and late-onset AD (LOAD, 65 years). Most AD cases are LOAD, a complex disease with heterogeneous etiologies including genetics, aging, environment, lifestyle, and chronic diseases, such as obesity Although the symptoms of AD are well-studied, no treatments can halt and reverse the progression of AD. Our understanding of AD pathogenesis is still limited. At present, the pathogenic hypotheses of AD mainly include the amyloid cascade hypothesis, tau hypothesis, inflammatory hypothesis, cholinergic hypothesis, etc. The amyloid cascade hypothesis is the most widely accepted one. However, nearly, all anti-Aβ drugs have failed to show satisfactory therapeutic efficacy in the past two decades. It is encouraging that in 2021, aducanumab, a humanized recombinant monoclonal antibody targeting Aβ, became the first disease-modifying therapy (DMT) drug for AD approved by an accelerated pathway of the US Food and Drug Administration (FDA). This approval based on reduced amyloid markers and its clinical efficacy remains controversial Over the past few decades, accumulated efforts in basic and clinical research in the AD field have improved our understanding of the multifactorial nature of AD pathogenesis. It is particularly encouraging that two DMT drugs targeting Aβ have recently received accelerated FDA approval for AD treatment. However, the efficacy of these drugs is controversial and needs further validation. The most likely reason for the failure of drugs targeting Aβ may be that Aβ pathology in AD does not always correlate with cognitive decline. Tau has received increasing attention as a potential alternative therapeutic target, since evidence indicates that tau pathology is more associated with cognitive degradation. To date, there are no tau-focused drugs approved by FDA. Still, several agents targeting tau post-translational modification and dissemination have recently entered clinical trials for treating AD and other tauopathies. Accumulating evidence indicates that neuroinflammation may be the third pathological feature of AD and plays an integral role in AD pathogenesis and the promotion of cognitive impairment. In recent years, growing findings of fundamental research have demonstrated the complex interplay between neuroinflammation and tau pathology, as summarized above. These findings suggest that in the early stage of AD, a moderate inflammatory response may alleviate tau pathology, such as activated microglia promoting the clearance of tau seeds. While in the middle and late stages of AD, sustained and increased inflammatory responses in glial cells and neurons are pivotal cellular drivers and regulators of the exacerbation of tau pathology, further contributing to its worsening by promoting inflammatory responses. This vicious circle aggravates the pathological progression of AD. There are temporal and spatial dynamic regulatory processes between tau pathology and inflammation as the disease progresses. Further elucidation of these dynamic regulatory mechanisms will provide essential insights into AD pathogenesis and drug development. Furthermore, current studies indicate that targeting only a single therapeutic target may not be able to reverse the pathological process of AD. As mentioned above, multi-target therapies (including multi-target single drugs such as the p38α inhibitors and single or multiple target multi-drug combination such as the combination of dasatinib and quercetin) targeting tau pathology and neuroinflammation, or simultaneously targeting Aβ pathology, which is currently undergoing clinical trials, may offer hope of reversing the course of AD and even curing it. These therapeutic strategies have shown good safety and tolerability, and clinical trials of their therapeutic effects are underway. In summary, both basic research and clinical trials suggest that targeting multiple pathologies and precise treatment strategies will be the trend of future drug development for AD and other tauopathies. They will be more likely to bring breakthroughs in the treatment of these diseases.",2023,True
32784025,Role of tau protein in Alzheimer's disease: The prime pathological player.,"Alzheimers disease (AD) is a prevalently found tauopathy characterized by memory loss and cognitive insufficiency. AD is an age-related neurodegenerative disease with two major hallmarks which includes extracellular amyloid plaques made of amyloid-β (Aβ) and intracellular neurofibrillary tangles of hyperphosphorylated tau. With population aging worldwide, there is an indispensable need for treatment strategies that can potentially manage this developing dementia. Despite broad researches on targeting Aβ in the past two decades, research findings on Aβ targeted therapeutics failed to prove efficacy in the treatment of AD. Tau protein with its extensive pathological role in several neurodegenerative diseases can be considered as a promising target candidate for developing therapeutic interventions. The abnormal hyperphosphorylation of tau plays detrimental pathological functions which ultimately lead to neurodegeneration. This review will divulge the importance of tau in AD pathogenesis, the interplay of Aβ and tau, the pathological functions of tau, and potential therapeutic strategies for an effective management of neuronal disorders.","Alzheimers disease (AD) is a prevalently found tauopathy characterized by memory loss and cognitive insufficiency. AD is an age-related neurodegenerative disease with two major hallmarks which includes extracellular amyloid plaques made of amyloid-β (Aβ) and intracellular neurofibrillary tangles of hyperphosphorylated tau. With population aging worldwide, there is an indispensable need for treatment strategies that can potentially manage this developing dementia. Despite broad researches on targeting Aβ in the past two decades, research findings on Aβ targeted therapeutics failed to prove efficacy in the treatment of AD. Tau protein with its extensive pathological role in several neurodegenerative diseases can be considered as a promising target candidate for developing therapeutic interventions. The abnormal hyperphosphorylation of tau plays detrimental pathological functions which ultimately lead to neurodegeneration. This review will divulge the importance of tau in AD pathogenesis, the interplay of Aβ and tau, the pathological functions of tau, and potential therapeutic strategies for an effective management of neuronal disorders.",2020,False
32006534,Glycogen synthase kinase-3 signaling in Alzheimer's disease.,"Alzheimers disease (AD) is the most common form of neurodegenerative disorder with dementia, accounting for approximately 70 of the all cases. Currently, 5.8 million people in the U.S. are living with AD and by 2050 this number is expected to double resulting in a significant socio-economic burden. Despite intensive research, the exact mechanisms that trigger AD are still not known and at the present there is no cure for it. In recent years, many signaling pathways associated with AD neuropathology have been explored as possible candidate targets for the treatment of this condition including glycogen synthase kinase-3β (GSK3-β). GSK3-β is considered a key player in AD pathophysiology since dysregulation of this kinase influences all the major hallmarks of the disease including: tau phosphorylation, amyloid-β production, memory, neurogenesis and synaptic function. The present review summarizes the current understanding of the GSK3-β neurobiology with particular emphasis on its effects on specific signaling pathways associated with AD pathophysiology. Moreover, it discusses the feasibility of targeting GSK3-β for AD treatment and provides a summary of the current research effort to develop GSK3-β inhibitors in preclinical and clinical studies.","Alzheimers disease (AD) is the most common form of neurodegenerative disorder with dementia, accounting for approximately 70 of the all cases. Currently, 5.8 million people in the U.S. are living with AD and by 2050 this number is expected to double resulting in a significant socio-economic burden. Despite intensive research, the exact mechanisms that trigger AD are still not known and at the present there is no cure for it. In recent years, many signaling pathways associated with AD neuropathology have been explored as possible candidate targets for the treatment of this condition including glycogen synthase kinase-3β (GSK3-β). GSK3-β is considered a key player in AD pathophysiology since dysregulation of this kinase influences all the major hallmarks of the disease including: tau phosphorylation, amyloid-β production, memory, neurogenesis and synaptic function. The present review summarizes the current understanding of the GSK3-β neurobiology with particular emphasis on its effects on specific signaling pathways associated with AD pathophysiology. Moreover, it discusses the feasibility of targeting GSK3-β for AD treatment and provides a summary of the current research effort to develop GSK3-β inhibitors in preclinical and clinical studies. Alzheimers disease (AD) is the most common form of age-related neurodegenerative disorder with dementia. Currently, the estimated number of people living with this disease in the United Sates is 5.8 million, a number projected to increase rapidly in the coming years due to the aging of the baby-boomer generation and the lack of a cure Clinically, AD is characterized by progressive loss of memory and cognitive functions. Early symptoms include difficulty recalling recent conversations, names or events. With the progression of the pathology, patients develop impaired communication skills, confusion, behavioral changes, poor judgment and often experience passiveness and depression Glycogen synthase kinase-3 (GSK3) is a ubiquitously expressed and constitutively active serine-threonine kinase involved in the regulation of many key cell biology pathways, some of which have been also implicated in neurodegeneration. There are two isoforms of GSK3, GSK3-α and GSK3-β encoded by two different genes Given the relevance of GSK3-β signaling to the pathophysiology of AD, the therapeutic potential of its inhibition has been widely investigated in preclinical and clinical studies. This review will focus on GSK3-β physiological function, current data regarding its aberrant activity in AD, and the evidence supporting the beneficial effect of GSK3-β modulation as therapeutic strategy for the treatment of AD. In the past years, GSK3-β has been recognized as an important key player in the AD pathogenesis. Since the initial discovery of GSK3-β overexpression and overactivity in the CNS of AD patients, the role of this kinase has been extensively investigated in connection to tau and Aβ pathophysiology. As one of the main tau kinases, GSK3-β promotes tau hyperphosphorylation and NFTs formation. Strong evidence has also pointed out that increased activity of GSK3-β can induce Aβ formation through transcriptional regulation of BACE1 gene expression and through its regulatory function on PS1. Given the existence of sex differences in AD incidence, some studies have attempted to address the question on whether GSK3β regulation is sexually dimorphic but all the current data available so far are not sufficient to conclude any significant gender-related effect on the activity of this kinase that could be relevant to the onset of development of AD pathology. In addition, recently GSK3-β has been implicated in the modulation of synaptic plasticity, memory, neurogenesis and inflammation making GSK3-β an excellent candidate as disease modifying agent for AD. However, current clinical research has failed so far to identify an effective and safe inhibitor of this kinase. GSK3-β inhibition comes with many challenges related to its ubiquitous expression and multiple regulatory cellular functions. Future possible strategies aiming at bypassing the potentially serious off target effects should be to specifically direct GSK3-β inhibition in the CNS and in the cells of interest. Therefore, given the promising preclinical studies, more research needs to be devoted to the development of selective and organ specific inhibitors that efficiently and safely regulate GSK3-β activity in the CNS as a viable therapeutic approach to prevent or halt AD.",2020,True
37700216,Alzheimer's Disease-Related Epigenetic Changes: Novel Therapeutic Targets.,"Aging is a significant risk factor for Alzheimers disease (AD), although the precise mechanism and molecular basis of AD are not yet fully understood. Epigenetic mechanisms, such as DNA methylation and hydroxymethylation, mitochondrial DNA methylation, histone modifications, and non-coding RNAs (ncRNAs), play a role in regulating gene expression related to neuron plasticity and integrity, which are closely associated with learning and memory development. This review describes the impact of dynamic and reversible epigenetic modifications and factors on memory and plasticity throughout life, emphasizing their potential as target for therapeutic intervention in AD. Additionally, we present insight from postmortem and animal studies on abnormal epigenetics regulation in AD, as well as current strategies aiming at targeting these factors in the context of AD therapy.","Aging is a significant risk factor for Alzheimers disease (AD), although the precise mechanism and molecular basis of AD are not yet fully understood. Epigenetic mechanisms, such as DNA methylation and hydroxymethylation, mitochondrial DNA methylation, histone modifications, and non-coding RNAs (ncRNAs), play a role in regulating gene expression related to neuron plasticity and integrity, which are closely associated with learning and memory development. This review describes the impact of dynamic and reversible epigenetic modifications and factors on memory and plasticity throughout life, emphasizing their potential as target for therapeutic intervention in AD. Additionally, we present insight from postmortem and animal studies on abnormal epigenetics regulation in AD, as well as current strategies aiming at targeting these factors in the context of AD therapy.",2024,False
35635955,Alzheimer's disease: Updated multi-targets therapeutics are in clinical and in progress.,"Alzheimers disease is a chronic and progressive brain neurodegenerative disease affecting over 30 million people globally. Currently, no effective treatment is available due to multiple factors involved in the progression of AD. Given that the numerous AD-related targets in the disease network, the multi-target-directed ligands (MTDLs) strategy are considered as the promising strategy to treat AD. Herein, the multi-target compounds withwithout ChEs are in clinical and in progress are reviewed. To further characterize the drug-likeness, and ADME properties are calculated using the Qikprop. This review will provide highlights for the treatment of AD.","Alzheimers disease is a chronic and progressive brain neurodegenerative disease affecting over 30 million people globally. Currently, no effective treatment is available due to multiple factors involved in the progression of AD. Given that the numerous AD-related targets in the disease network, the multi-target-directed ligands (MTDLs) strategy are considered as the promising strategy to treat AD. Herein, the multi-target compounds withwithout ChEs are in clinical and in progress are reviewed. To further characterize the drug-likeness, and ADME properties are calculated using the Qikprop. This review will provide highlights for the treatment of AD.",2022,False
34181171,Recent advances on drug development and emerging therapeutic agents for Alzheimer's disease.,"Alzheimers disease (AD) is a neurodegenerative old age disease that is complex, multifactorial, unalterable, and progressive in nature. The currently approved therapy includes cholinesterase inhibitors, NMDA-receptor antagonists and their combination therapy provides only temporary symptomatic relief. Sincere efforts have been made by the researchers globally to identify new targets, discover, and develop novel therapeutic agents for the treatment of AD. This brief review article is intended to cover the recent advances in drug development and emerging therapeutic agents for AD acting at different targets. The article is compiled using various scientific online databases and by referring to clinicaltrials.gov and ALZFORUM (alzforum.org) websites. The upcoming therapies act on one or more targets including amyloids (secretases, Aβ","Alzheimers disease (AD) is a neurodegenerative old age disease that is complex, multifactorial, unalterable, and progressive in nature. The currently approved therapy includes cholinesterase inhibitors, NMDA-receptor antagonists and their combination therapy provides only temporary symptomatic relief. Sincere efforts have been made by the researchers globally to identify new targets, discover, and develop novel therapeutic agents for the treatment of AD. This brief review article is intended to cover the recent advances in drug development and emerging therapeutic agents for AD acting at different targets. The article is compiled using various scientific online databases and by referring to clinicaltrials.gov and ALZFORUM (alzforum.org) websites. The upcoming therapies act on one or more targets including amyloids (secretases, Aβ Alzheimers disease (AD) is a neurodegenerative disease. It severely affects cognitive abilities of a person causing loss of memory and conscience. It is complex, unalterable, and progressive in nature. AD is the prevalent cause of dementia in late adult life and is linked with high morbidity and mortality rate in the elderly Illustration showing the comparison between the brain of a healthy and an affected one AD can be classified typically into two types: sporadic and familial. Sporadic AD affects people above 65 years and is often referred to as late-onset AD (LOAD). Familial forms of AD are influenced by genetic factors and inheritance, the affected group lies between 3065 years of age and is referred to as early-onset AD (EOAD) The symptomatic treatment with cholinesterase inhibitors, NMDA-receptor antagonists, and combination therapy are currently approved strategies for AD. However, there are other mechanisms also that contribute to the pathogenesis of AD such as neuroinflammation, oxidative stress, hypoglycemia and vascular dysfunction, metal dyshomeostasis, protein misfolding, clearance of abnormal proteins, etc., and thus are the potential targets for the treatment of AD AD is a complex neurodegenerative disease affecting millions of people worldwide. Numerous biochemical and pharmacological studies conducted in the past couple of decades have tried to unwind the complexities of this progressive disease. We now have a better understanding of the pathogenesis of AD at the molecular level that has enabled the researchers to discover and develop novel therapeutic agents to treat this devastating disease. A number of therapeutics based on the identified targets were developed from 2010 to 2020 for the treatment of AD and several of these molecules are currently under investigation in clinical studies. Data indicated that over the last decade, the majority of the agents that reached in the phase 2 failed to show a drug-placebo difference and therefore could not make it to phase 3. On the other hand, more than 50 molecules successfully progressed from phase 2 to phase 3 but unfortunately, only one agent could pass the phase 3 clinical trial since 2003. Most of the studies were discontinuedterminated as these agents were found to be toxic and ineffective and thus failed to meet the primary and secondary endpoints of the studies. In the ongoing clinical trials, anti-amyloid immunotherapy, Aβ aggregation inhibitors, BACE inhibitors, SALA (Selective Aβ In our opinion, newer therapeutic strategies to design, discover and develop anti-AD agents should focus on (i) repositioning and repurposing of existing drugs for AD; (ii) multitarget directed ligands capable of acting on multiple key molecular targets involved in the pathogenesis of AD (iii) minimizing the toxicity of drugs failed in phase 3 (iv) improving the pharmacokinetic profile of the promising candidates by structural modification, (v) exploring the natural products to identify the lead molecule for AD, (vi) stem cell therapy, and (vii) identification of novel molecular targets including development of immunotherapy.",2021,True
32867590,Novel Targets for Alzheimer's Disease: A View Beyond Amyloid.,"Genetic studies of autosomal dominant Alzheimers disease (AD) revealed that β-amyloid is central to disease pathogenesis. However, amyloid-targeted therapies have generally failed to slow progression in patients with symptomatic disease. This result suggests a transition from an early amyloid-dependent phase to a later amyloid-independent one, during which neurodegeneration occurs and symptoms arise. Microglia, the brains resident myeloid cells, envelop amyloid and express the majority of genes linked to risk for sporadic late-onset AD. Their activation is associated spatially and temporally with the accumulation of pathological tau. Microglial facilitation of tau pathology may involve apolipoprotein E, the most important genetic risk factor for AD. Once formed, pathological tau spreads between connected neurons, eventually accumulating in the somatic compartment where catastrophic nuclear damage ensues. This emerging understanding of the postamyloid processes leading to neurodegeneration affords the opportunity to develop therapeutics that interrupt this pathological cascade and prevent or delay dementia, even after amyloid deposition.","Genetic studies of autosomal dominant Alzheimers disease (AD) revealed that β-amyloid is central to disease pathogenesis. However, amyloid-targeted therapies have generally failed to slow progression in patients with symptomatic disease. This result suggests a transition from an early amyloid-dependent phase to a later amyloid-independent one, during which neurodegeneration occurs and symptoms arise. Microglia, the brains resident myeloid cells, envelop amyloid and express the majority of genes linked to risk for sporadic late-onset AD. Their activation is associated spatially and temporally with the accumulation of pathological tau. Microglial facilitation of tau pathology may involve apolipoprotein E, the most important genetic risk factor for AD. Once formed, pathological tau spreads between connected neurons, eventually accumulating in the somatic compartment where catastrophic nuclear damage ensues. This emerging understanding of the postamyloid processes leading to neurodegeneration affords the opportunity to develop therapeutics that interrupt this pathological cascade and prevent or delay dementia, even after amyloid deposition.",2021,False
